adm2_name,adm2_name1,adm2_name2,adm2_name3,adm2_pcode,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm2_ref_name,center_lat,center_lon,flood_frequency_years,flood_pixel_days,crop_pct,rangeland_pct,cattle_sum,pop_sum
Ezo,,,,SS1001,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,8072.41079102,v03,en,,,,Ezo,5.61822859,27.99451623,0.0,0.0,0.0,9.132590388697498,58471.990961458534,128061.51104068756
Ibba,,,,SS1002,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,9608.02698522,v03,en,,,,Ibba,5.04440604,29.02969946,0.0,0.0,0.0631940523244871,18.64450404667796,79247.36853544826,67131.35945025086
Maridi,,,,SS1003,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,7681.28357678,v03,en,,,,Maridi,5.14432244,29.68883208,0.0,0.0,1.2632818532818533,13.964671814671815,76710.01029215821,108892.55201925337
Mundri East,,,,SS1004,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,5079.77166814,v03,en,,,,Mundri East,5.29757594,30.67018903,0.0,0.0,0.009179375453885258,38.26716049382716,98504.72448391438,98939.93085137755
Mundri West,,,,SS1005,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,5872.93730261,v03,en,,,,Mundri West,5.15744171,30.20853059,0.0,0.0,0.013803819131687984,27.11946045757521,64017.39372326592,49436.22373242676
Mvolo,,,,SS1006,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,5710.89089726,v03,en,,,,Mvolo,5.95485612,30.0309826,0.0,0.0,0.003920740010330093,37.878950086866695,110548.48784770166,72970.58669256419
Nagero,,,,SS1007,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,9196.81649168,v03,en,,,,Nagero,6.41688222,27.73919778,0.0,0.0,0.00012390257717360522,36.92836661002549,50166.474032980885,4836.384044788778
Nzara,,,,SS1008,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,6444.07109043,v03,en,,,,Nzara,5.30645623,28.18177274,0.0,0.0,0.0,11.409338551258442,57081.956465854135,81159.7933964841
Tambura,,,,SS1009,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,12454.91150371,v03,en,,,,Tambura,6.030796,27.20561168,0.0,0.0,0.0,16.640376864514796,90981.03850918307,152280.25559354573
Yambio,,,,SS1010,Western Equatoria,,,,SS10,South Sudan,,,,SS,2022-12-19,,8792.0877119,v03,en,,,,Yambio,5.1755589,28.4506895,0.0,0.0,5.770673437590167e-05,16.75272664319926,84882.59124263172,168343.59877779894
