date,inundation_km2,population_exposed_est,crop_exposed_km2,rangeland_exposed_km2,cattle_exposure_index,flooded_cells,health_facilities_exposed
2017-06-26,44.046892256919094,0.0,0.21334891044581522,2.6138873660965594,869814.5740031158,825,0
2017-06-27,96.08545486937123,0.0,1.173431964934374,9.284822242254943,4369011.9296441,1800,0
2017-06-28,60.12358828176405,0.0,0.6409348567582016,4.325568062400937,2336879.790926326,1126,0
2017-06-29,89.47530919911644,0.0,1.3263507173210431,5.818841198136866,5328274.757468947,1678,0
2017-06-30,109.33995309749174,0.0,2.014639064799493,9.542900589812083,4932962.753300513,2051,0
2017-07-01,104.89484318919303,0.0,4.64684210649585,8.194999710346659,5038051.183726453,1970,0
2017-07-02,257.99142401478605,26.871756076812744,5.201069196436451,92.09121730337509,9095811.334352618,4841,0
2017-07-03,65.67706131605202,0.0,1.0570951263095054,3.360414998621815,1721137.0916783276,1231,0
2017-07-04,79.79177923873475,0.0,1.4284251211257615,4.90955596870232,3304568.7966907993,1495,0
2017-07-05,6.916634275757171,0.0,0.0,0.10680507786144287,102179.93596372391,130,0
2017-07-06,60.76211998463328,0.0,0.528505695737642,1.4386990496405436,2583144.0626221523,1140,0
2017-07-07,37.83313337728197,0.0,0.053393596473399654,3.24630140741686,1157914.991555084,709,0
2017-07-08,54.30187205340907,0.0,0.1591375053898716,2.4560606983768505,1923851.9740381807,1017,0
2017-07-09,58.21303780116056,0.0,0.05342291693788184,3.5254847712245314,2077062.5438167374,1090,0
2017-07-10,53.358158672863496,0.0,0.0,2.617489186468418,1345652.298197832,999,0
2017-07-11,82.64434244361257,0.0,0.1602502500308809,5.536156453522905,2665481.740730843,1548,0
2017-07-12,43.02743675108007,0.0,0.0,2.0156991588159623,1004347.1240296164,806,0
2017-07-13,65.05400389986256,0.0,0.2652263398006211,1.8160706273651999,2239127.2623218927,1218,0
2017-07-14,65.53272275241889,0.0,0.1602674552842785,2.1359447110057057,1616910.1129832685,1227,0
2017-07-15,101.15309168174346,0.0,0.3198316410175,4.372882990577534,2403149.08025743,1895,0
2017-07-16,109.65864057049787,0.0,0.7981607011709918,7.990981688948978,2916469.738399833,2056,0
2017-07-17,72.54273139781118,0.0,1.2713441668817285,5.37937998701505,1581176.1140800894,1362,0
2017-07-18,121.83019759854297,0.0,10.458807534807534,7.513205896647308,7828319.75414341,2289,0
2017-07-19,34.690954756042544,0.0,1.6386673544305679,1.8674178006845088,837824.4427258244,650,0
2017-07-20,74.31950106003396,0.0,0.5339014898443326,3.577676181088444,3010538.289833109,1392,0
2017-07-21,42.198379744775764,0.0,0.4273807286934509,2.2435589575163837,766206.7288395244,790,0
2017-07-22,76.5186446417396,0.0,0.6944539422135897,4.059419074230431,2715372.6775487107,1433,0
2017-07-23,71.27288460505096,0.0,0.2670963913914402,3.6845812857750446,2537608.3033597567,1335,0
2017-07-24,65.9134288794126,0.0,0.47544105830281147,2.027071707135431,2219573.90954039,1237,0
2017-07-25,51.88025372286258,0.0,0.369262254962607,1.7603942547719724,1438625.3079786636,974,0
2017-07-26,10.67908672423829,0.0,0.21116774570115832,0.4795057293096219,246544.27923000598,200,0
2017-07-27,16.338775832986503,0.0,0.2117802892065359,0.9061752335902891,210645.61773363198,306,0
2017-07-28,16.817591030319015,0.0,0.15961300193510444,0.9600032479887628,495594.5221544401,315,0
2017-07-29,118.84484388567199,0.0,4.506053870081295,8.421930028316671,6252724.956975052,2232,0
2017-07-30,96.40487443672457,0.0,0.6395788373014905,4.85695654246474,3411319.6637734855,1809,0
2017-07-31,88.63309862839681,0.0,3.438562876779409,5.006514370906263,3883480.130105872,1665,0
2017-08-01,63.1990115431332,0.0,0.32018739026121557,2.883558205543022,1997127.854776055,1186,0
2017-08-02,42.748125302125864,0.0,0.3703149697787688,2.0808191972917616,805327.9150183569,801,0
2017-08-03,112.24594185914071,0.0,2.131537631471175,13.29028384159583,5978629.462574743,2103,0
2017-08-04,33.23512201090713,0.0,1.5326088149941248,2.6083736061385907,1134274.097768526,624,0
2017-08-05,165.28301232173024,0.0,5.63613737233665,19.411955045260978,9710592.873334585,3097,0
2017-08-06,75.39703524051825,0.0,1.1688403944902859,4.53647394391515,2700268.4766143374,1412,0
2017-08-07,105.43477663303008,0.0,0.5876384445655727,6.088908121799712,3754687.3736521592,1974,0
2017-08-08,59.07596144455964,0.0,0.21368975433582613,2.5629970165212175,1418340.9992473847,1106,0
2017-08-09,68.36610531522113,0.0,0.1602678751197406,2.9903059893450514,2225638.665448821,1280,0
2017-08-10,81.10486882589002,0.0,1.0555401318438218,7.756234517989986,3474332.107445735,1520,0
2017-08-11,84.99354451027622,0.0,1.0555401318438218,8.023082805735267,3516461.4092298397,1593,0
2017-08-12,57.86327785159817,0.0,0.0,3.518976329370426,2109633.826468154,1084,0
2017-08-13,48.27975603258213,0.0,0.10662860695282969,3.1413602059271186,1688457.1636300706,905,0
2017-08-14,110.05381256494951,1.0517170429229736,1.6535610732623967,16.61212082644834,5168461.763019149,2063,0
2017-08-15,138.93300272393637,0.0,2.293417102070759,19.848994191221518,6145609.142054306,2604,0
2017-08-16,131.79704936642662,0.0,2.179515058575415,12.994089743165805,6393521.464311286,2469,0
2017-08-17,132.2979759062848,0.0,7.150870350419963,13.737795928515853,5724564.032412678,2480,0
2017-08-18,128.19440074804353,0.0,7.739978558644809,16.873293793142984,5232847.700328406,2405,0
2017-08-19,147.2988131090075,0.0,16.853798946807547,26.793814508209778,6436983.528851011,2765,0
2017-08-20,94.22572850283811,0.0,2.02717027760119,8.319320414465912,2578193.9842377943,1766,0
2017-08-21,158.6065924294437,0.254393994808197,16.530432716085613,25.48144055268143,7843583.920801541,2975,0
2017-08-22,87.0967561393667,0.0,4.569612843081081,9.654350863010405,2470955.537017089,1632,0
2017-08-23,122.58282673159287,0.0,6.276500419904747,15.47097440312422,4659605.157295536,2296,0
2017-08-24,108.0817859858812,0.0,8.045833811076477,28.06999334237891,2813947.6810295735,2026,0
2017-08-25,108.30465920282191,0.0,6.874480590497354,24.875625851421542,2885020.6666331748,2030,0
2017-08-26,118.61550297894661,0.0,3.4107887850250473,30.81622984700986,3818050.912956145,2224,0
2017-08-27,79.92441965588598,0.0,2.2387193811915345,8.10322419359983,2283881.882102364,1498,0
2017-08-28,91.46119609398754,0.0,3.2525650787631033,11.250362981311723,3168945.895628649,1714,0
2017-08-29,45.28106518070322,0.0,2.081965501877685,5.605616436148903,1056594.975346142,848,0
2017-08-30,14.900053866351488,0.0,0.31933930847496267,0.746471927111051,106558.19281384551,279,0
2017-08-31,12.06416660312047,0.0,0.16026775921357134,2.075866888666116,279525.44662917906,226,0
2017-09-01,18.953888238686332,0.0,0.0,10.360260560294506,331244.14171395946,356,0
2017-09-02,37.59315845418312,0.0,0.6904980436686865,6.176319792291829,1142877.5589034357,706,0
2017-09-03,27.585284261925004,0.0,0.6406134336383772,2.828222215189296,614115.0201204789,517,0
2017-09-04,32.01912479921681,0.0,11.103164461842795,8.686758301576294,1097157.4872443487,602,0
2017-09-05,22.275133392607863,1.4655050188302994,1.4270314915613054,8.257661061677938,1150963.8331999453,419,0
2017-09-06,67.32209332136493,6.431118056178093,3.9631505680220585,18.969521881690262,3565910.1168139684,1265,0
2017-09-07,90.45408452040454,3.015565052628517,1.59227604850058,22.504234966330273,4123282.393217889,1698,0
2017-09-08,180.8160565946445,0.0,11.1216868862509,38.175653427357936,9143554.990948522,3392,0
2017-09-09,190.60606255140397,0.24822700023651123,11.079307894068936,48.76113246123233,8974552.477377012,3577,0
2017-09-10,214.26845110435636,0.24822700023651123,25.453285372280742,48.332810534183096,9517941.962897733,4025,0
2017-09-11,358.2157135408667,30.65649914741516,25.739612392643043,121.95223604075028,17502333.316340335,6735,0
2017-09-12,190.838049963771,10.993782058358192,27.55561264970053,35.5804417583357,10852871.444230774,3591,0
2017-09-13,261.2646652522288,26.09215721487999,33.27636315036729,68.25777431300189,16104176.882270213,4916,0
2017-09-14,94.84338911645598,10.780266061425209,18.361452339539344,26.08713167453854,6163485.571183495,1786,0
2017-09-15,78.53011442549786,0.0,9.639632543097951,12.586475412402466,5105965.282968986,1474,0
2017-09-16,180.53870285240393,0.0,4.040594098477025,121.24773274957461,2830760.3275913578,3392,0
2017-09-17,276.1919960527595,1.4600310325622559,10.55215782423653,137.56742020465643,6550776.632863887,5187,0
2017-09-18,289.9215410967077,17.988790929317474,13.040965447558609,103.88605302274722,8660931.593947878,5446,0
2017-09-19,167.83738278131358,0.0,17.472574364673008,24.04126152555455,6529180.704077559,3151,0
2017-09-20,247.93599491510435,20.103975772857666,24.188272942282698,106.61346062958458,8281602.853571497,4658,0
2017-09-21,114.8837374114689,0.0,21.435292511014495,23.219160214124788,5502694.654606245,2157,0
2017-09-22,189.94348105088073,20.001051902770996,24.976738242769958,101.33251654576567,6593469.5224583,3570,0
2017-09-23,79.57530442132139,2.118442013859749,8.904521752824774,25.205678188210175,2550890.026892304,1494,0
2017-09-24,178.5816002499636,2.118442013859749,24.188581327283433,37.40630112884786,10627036.287835931,3355,0
2017-09-25,638.0005873108514,225.9997084978968,18.37478489732661,473.02303920901437,16354345.46735722,12001,0
2017-09-26,201.12748667162802,0.0,29.000655544973856,40.49242591678112,11640044.955109067,3780,0
2017-09-27,1703.2981603985,434.40878264419734,23.400869341989065,1524.5739385529805,27861610.91360091,32048,4
2017-09-28,226.91585301818307,166.7279504854232,22.3505300601836,67.9152687500598,11878098.137874497,4270,0
2017-09-29,263.2504094402137,166.7279504854232,21.64804237755554,135.8521428755152,9860508.532796865,4955,0
2017-09-30,41.83148071729111,0.0,4.368392696688584,10.762474574099222,1608449.0123489844,786,0
2017-10-01,45.158736857068796,0.0,2.1206129230183484,18.448709518091327,1696348.4518878015,848,0
2017-10-02,324.6144640653271,114.22781231626868,6.348543453000881,193.74580778682613,7736013.2254644185,6096,0
2017-10-03,479.0776644477884,151.77346782013774,27.338535924874535,281.62007822896624,14617604.8557281,9004,0
2017-10-04,1055.9979904566624,282.57207808084786,43.56523635552113,616.1471422853256,45188643.218987815,19901,1
2017-10-05,367.654960307639,1.5906989574432373,45.927962228535534,144.6304265921003,21382342.468894538,6917,0
2017-10-06,607.5468463181852,120.492417704314,44.83095747774509,382.58307631558546,23442487.29968699,11429,1
2017-10-07,146.27873525268458,0.0,27.779903793764056,37.54427031328205,8617142.132624634,2752,0
2017-10-08,421.4390894253078,41.61388314887881,34.98165849897617,267.772598908554,14795722.093062514,7926,0
2017-10-09,135.27834833374246,1.4086079597473145,17.15022338912644,68.08191825566654,4652391.422339416,2543,0
2017-10-10,187.85201934192997,1.6221239566802979,24.664392849079608,71.95082540960104,10681820.731812954,3531,0
2017-10-11,135.92169634880798,0.0,10.557066404049554,49.88646638021768,6235330.166457508,2553,0
2017-10-12,83.49411354182381,0.0,13.123685476397107,13.228318900197479,5216188.483658194,1569,0
