lon,lat,exposed_dates,mean_population,cumulative_person_date_exposure,index_right,adm1_name,adm1_name1,adm1_name2,adm1_name3,adm1_pcode,adm0_name,adm0_name1,adm0_name2,adm0_name3,adm0_pcode,valid_on,valid_to,area_sqkm,version,lang,lang1,lang2,lang3,adm1_ref_name,center_lat,center_lon
29.644792556762695,9.144791603088379,836,3.1628699599270615,2644.1592864990234,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.65104103088379,9.151041984558105,836,0.7132489736142912,596.2761419415474,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.684375762939453,9.121874809265137,835,16.53984734084078,13810.77252960205,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.659374237060547,9.148958206176758,835,0.6317500128717479,527.5112607479095,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.717708587646484,9.017708778381348,834,10.129162381307113,8447.721426010132,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.690624237060547,9.005208015441895,834,6.78875458955193,5661.82132768631,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.646875381469727,9.138541221618652,833,11.584210090133466,9649.647005081177,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.680208206176758,9.119791984558105,833,5.509077684647467,4589.06171131134,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.686458587646484,9.121874809265137,833,1.1003581099435777,916.5983055830002,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.686458587646484,9.003125190734863,832,11.96006496479878,9950.774050712585,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.686458587646484,9.009374618530273,832,4.37738894040768,3641.9875984191895,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.64270782470703,9.138541221618652,831,3.3490430473850954,2783.054772377014,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.655208587646484,9.153124809265137,830,14.177747265689344,11767.530230522156,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.68229103088379,9.121874809265137,829,2.7178004581764323,2253.0565798282623,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.719791412353516,9.017708778381348,828,18.2598401290783,15119.147626876831,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.684375762939453,9.009374618530273,828,2.96926454530246,2458.551043510437,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.640625,9.134374618530273,826,0.507573516511744,419.2557246387005,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.690624237060547,9.003125190734863,824,3.285649143955083,2707.374894618988,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
29.657291412353516,9.153124809265137,823,15.18771537627803,12499.489754676819,5.0,Unity,,,,SS06,South Sudan,,,,SS,2022-12-19,,37058.93489438,v03,en,,,,Unity,8.67657042,29.78380318
